Season,Name,Team,,WAR,DOL,NameASCII,PlayerId,MLBAMID
2023,Enrique Hernández,- - -,,-1.111588238,-8.892705901,Enrique Hernandez,10472,571771
2015,Pablo Sandoval,BOS,,-1.190391965,-9.523135722,Pablo Sandoval,5409,467055
2017,Carlos Beltrán,HOU,,-1.223063471,-9.784507772,Carlos Beltran,589,136860
2024,Bryan De La Cruz,- - -,,-1.235254202,-9.88203362,Bryan De La Cruz,19600,650559
2016,Alexei Ramirez,- - -,,-1.53950322,-12.31602576,Alexei Ramirez,5133,493351
2023,Jurickson Profar,- - -,,-1.569869924,-12.55895939,Jurickson Profar,10815,595777
2018,Victor Martinez,DET,,-1.652799197,-13.22239357,Victor Martinez,393,400121
2017,Mark Trumbo,BAL,,-1.73576621,-13.88612968,Mark Trumbo,6876,444432
2017,Albert Pujols,LAA,,-1.814841092,-14.51872874,Albert Pujols,1177,405395
2018,Chris Davis,BAL,,-2.547022953,-20.37618363,Chris Davis,9272,448801
